PDF1,PDF2,PDF1_PageNum,PDF1_Position,PDF2_PageNum,PDF2_Position
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,25,Middle Center,25,Middle Center
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,17,Middle Center,17,Middle Center
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,25,Middle Center,25,Middle Center
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,14,Top Right,14,Top Right
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,19,Top Right,19,Top Right
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,15,Top Center,15,Top Center
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,12,Top Right,12,Top Right
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,8,Top Right,8,Top Right
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,11,Middle Center,11,Middle Center
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,9,Top Right,9,Top Right
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,10,Top Right,10,Top Right
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,19,Middle Center,19,Middle Center
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,25,Top Center,25,Top Center
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,24,Middle Center,24,Middle Center
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,25,Middle Left,25,Middle Left
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,18,Middle Right,18,Middle Right
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,25,Middle Right,25,Middle Right
Proposal_F244-0002-0320.json,docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,25,Middle Right,25,Middle Right
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,25,Middle Center,25,Middle Center
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,17,Middle Center,17,Middle Center
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,25,Middle Center,25,Middle Center
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,14,Top Right,14,Top Right
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,19,Top Right,19,Top Right
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,15,Top Center,15,Top Center
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,12,Top Right,12,Top Right
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,8,Top Right,8,Top Right
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,11,Middle Center,11,Middle Center
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,9,Top Right,9,Top Right
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,10,Top Right,10,Top Right
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,19,Middle Center,19,Middle Center
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,25,Top Center,25,Top Center
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,24,Middle Center,24,Middle Center
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,25,Middle Left,25,Middle Left
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,18,Middle Right,18,Middle Right
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,25,Middle Right,25,Middle Right
Proposal_F244-0002-0320.json,Proposal_F2D-15326.json,25,Middle Right,25,Middle Right
docNCCDDB4346693bda14bb5a4e3fb581ce077db81588e96fc9b37e809588d55cf81a2a05fe2e5f9.json,docNCCDDB4346693af18c922cec1362fb8e2e78db877f669e72452134db5bdc3fd023049628b7156.json,10,Middle Center,10,Middle Center
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,36,Middle Center,36,Middle Center
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,16,Middle Center,16,Middle Center
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,19,Top Right,19,Top Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,28,Top Left,28,Top Left
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,9,Bottom Right,9,Bottom Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,24,Top Center,24,Top Center
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,10,Bottom Right,10,Bottom Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,21,Top Center,21,Top Center
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,15,Top Right,15,Top Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,1,Middle Center,1,Middle Center
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,22,Middle Right,22,Middle Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,11,Bottom Right,11,Bottom Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,11,Middle Right,11,Middle Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,18,Top Center,18,Top Center
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,10,Middle Right,10,Middle Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,27,Middle Right,27,Middle Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,24,Middle Center,24,Middle Center
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,17,Top Right,17,Top Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,10,Top Right,10,Top Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,23,Middle Center,23,Middle Center
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,36,Middle Center,34,Middle Center
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,16,Middle Center,16,Middle Center
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,19,Top Right,19,Top Right
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,28,Top Left,28,Top Left
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,9,Bottom Right,9,Bottom Right
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,24,Top Center,24,Top Center
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,10,Bottom Right,10,Bottom Right
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,21,Top Center,21,Top Center
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,15,Top Right,15,Top Right
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,1,Middle Center,1,Middle Center
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,22,Middle Right,22,Middle Right
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,11,Bottom Right,11,Bottom Right
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,11,Middle Right,11,Middle Right
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,18,Top Center,18,Top Center
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,10,Middle Right,10,Middle Right
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,27,Middle Right,27,Middle Right
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,24,Middle Center,24,Middle Center
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,17,Top Right,17,Top Right
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,10,Top Right,10,Top Right
Proposal_F2D-15327.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,23,Middle Center,23,Middle Center
Proposal_F2D-15327.json,Proposal_F244-0007-0317.json,10,Bottom Right,10,Bottom Right
Proposal_F2D-15327.json,Proposal_F244-0007-0317.json,22,Middle Right,22,Middle Right
Proposal_F2D-15327.json,Proposal_F244-0007-0317.json,10,Middle Right,10,Middle Right
Proposal_F2D-15327.json,Proposal_F244-0007-0317.json,21,Top Center,21,Top Center
Proposal_F2D-15327.json,Proposal_F244-0007-0317.json,27,Middle Right,27,Middle Right
Proposal_F2D-15327.json,Proposal_F244-0007-0317.json,11,Bottom Right,11,Bottom Right
Proposal_F2D-15327.json,Proposal_F244-0007-0317.json,16,Middle Center,16,Middle Center
Proposal_F2D-15327.json,Proposal_F244-0007-0317.json,15,Top Right,15,Top Right
Proposal_F2D-15327.json,Proposal_F244-0007-0317.json,19,Top Right,19,Top Right
Proposal_F2D-15327.json,Proposal_F244-0007-0317.json,24,Middle Center,24,Middle Center
Proposal_F2D-15327.json,Proposal_F244-0007-0317.json,17,Top Right,17,Top Right
Proposal_F2D-15327.json,Proposal_F244-0007-0317.json,11,Middle Right,11,Middle Right
Proposal_F2D-15327.json,Proposal_F244-0007-0317.json,9,Bottom Right,9,Bottom Right
Proposal_F2D-15327.json,Proposal_F244-0007-0317.json,10,Top Right,10,Top Right
Proposal_F2D-15327.json,Proposal_F244-0007-0317.json,18,Top Center,18,Top Center
Proposal_F2D-15327.json,Proposal_F244-0007-0317.json,24,Top Center,24,Top Center
Proposal_F2D-15327.json,Proposal_F244-0007-0317.json,23,Middle Center,23,Middle Center
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,36,Middle Center,34,Middle Center
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,16,Middle Center,16,Middle Center
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,19,Top Right,19,Top Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,28,Top Left,28,Top Left
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,9,Bottom Right,9,Bottom Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,24,Top Center,24,Top Center
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,10,Bottom Right,10,Bottom Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,21,Top Center,21,Top Center
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,15,Top Right,15,Top Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,1,Middle Center,1,Middle Center
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,22,Middle Right,22,Middle Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,11,Bottom Right,11,Bottom Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,11,Middle Right,11,Middle Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,18,Top Center,18,Top Center
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,10,Middle Right,10,Middle Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,27,Middle Right,27,Middle Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,24,Middle Center,24,Middle Center
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,17,Top Right,17,Top Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,10,Top Right,10,Top Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,23,Middle Center,23,Middle Center
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,Proposal_F244-0007-0317.json,10,Bottom Right,10,Bottom Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,Proposal_F244-0007-0317.json,22,Middle Right,22,Middle Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,Proposal_F244-0007-0317.json,10,Middle Right,10,Middle Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,Proposal_F244-0007-0317.json,21,Top Center,21,Top Center
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,Proposal_F244-0007-0317.json,27,Middle Right,27,Middle Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,Proposal_F244-0007-0317.json,11,Bottom Right,11,Bottom Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,Proposal_F244-0007-0317.json,16,Middle Center,16,Middle Center
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,Proposal_F244-0007-0317.json,15,Top Right,15,Top Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,Proposal_F244-0007-0317.json,19,Top Right,19,Top Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,Proposal_F244-0007-0317.json,24,Middle Center,24,Middle Center
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,Proposal_F244-0007-0317.json,17,Top Right,17,Top Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,Proposal_F244-0007-0317.json,11,Middle Right,11,Middle Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,Proposal_F244-0007-0317.json,9,Bottom Right,9,Bottom Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,Proposal_F244-0007-0317.json,10,Top Right,10,Top Right
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,Proposal_F244-0007-0317.json,18,Top Center,18,Top Center
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,Proposal_F244-0007-0317.json,24,Top Center,24,Top Center
docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,Proposal_F244-0007-0317.json,23,Middle Center,23,Middle Center
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,25,Middle Center,25,Middle Center
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,17,Middle Center,17,Middle Center
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,25,Middle Center,25,Middle Center
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,14,Top Right,14,Top Right
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,19,Top Right,19,Top Right
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,15,Top Center,15,Top Center
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,12,Top Right,12,Top Right
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,8,Top Right,8,Top Right
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,11,Middle Center,11,Middle Center
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,9,Top Right,9,Top Right
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,10,Top Right,10,Top Right
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,19,Middle Center,19,Middle Center
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,25,Top Center,25,Top Center
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,24,Middle Center,24,Middle Center
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,25,Middle Left,25,Middle Left
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,18,Middle Right,18,Middle Right
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,25,Middle Right,25,Middle Right
docNAC01FB745353ee9736cbd0f3a4acf175e91d31877c6625d03787c64699f006da003b3adf2b55.json,Proposal_F2D-15326.json,25,Middle Right,25,Middle Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,10,Bottom Right,10,Bottom Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,22,Middle Right,22,Middle Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,10,Middle Right,10,Middle Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,21,Top Center,21,Top Center
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,27,Middle Right,27,Middle Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,11,Bottom Right,11,Bottom Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,16,Middle Center,16,Middle Center
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,15,Top Right,15,Top Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,19,Top Right,19,Top Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,24,Middle Center,24,Middle Center
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,17,Top Right,17,Top Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,11,Middle Right,11,Middle Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,9,Bottom Right,9,Bottom Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,10,Top Right,10,Top Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,18,Top Center,18,Top Center
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,24,Top Center,24,Top Center
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,23,Middle Center,23,Middle Center
